Designator,Mid X,Mid Y,Rotation,Layer
D1,130.77,-69.559998,90.0,top
ISOLATOR1,121.5,-73.97,90.0,top
J1,135.6173,-69.082,0.0,top
MCP42010,130.91,-76.99,180.0,top
POTW1,135.7423,-78.6,0.0,bottom
R1,132.84,-73.06,0.0,top
R2,114.85,-70.37,-90.0,top
R3,133.1,-69.7675,90.0,top
U1,121.88,-73.62,0.0,bottom
